iter	Passed	Remaining
0	2	268
1	5	284
2	8	269
3	10	241
4	12	232
5	14	230
6	20	270
7	22	262
8	26	267
9	29	261
10	31	256
11	35	259
12	37	253
13	41	255
14	44	250
15	47	248
16	51	251
17	54	246
18	56	239
19	59	236
20	63	237
21	65	232
22	68	228
23	70	223
24	73	219
25	75	215
26	78	211
27	80	206
28	83	203
29	85	200
30	89	198
31	91	194
32	93	190
33	103	200
34	109	203
35	118	211
36	122	207
37	126	206
38	130	203
39	132	199
40	136	196
41	137	189
42	140	186
43	143	182
44	145	178
45	148	174
46	150	170
47	155	168
48	159	166
49	163	163
50	165	159
51	168	155
52	171	152
53	174	148
54	176	144
55	179	140
56	182	137
57	186	135
58	190	132
59	193	128
60	196	125
61	199	122
62	201	118
63	204	114
64	206	111
65	209	107
66	212	104
67	215	101
68	218	98
69	221	94
70	223	91
71	226	88
72	229	84
73	232	81
74	234	78
75	236	74
76	238	71
77	240	67
78	242	64
79	245	61
80	247	57
81	249	54
82	251	51
83	253	48
84	256	45
85	259	42
86	262	39
87	265	36
88	269	33
89	271	30
90	273	27
91	276	24
92	279	21
93	281	17
94	283	14
95	284	11
96	286	8
97	288	5
98	290	2
99	292	0
